indicator,year,value
Deposits_to_loans_pct,2011,122.219016554602
Deposits_to_loans_pct,2012,124.390717590291
Deposits_to_loans_pct,2013,133.777258717735
Deposits_to_loans_pct,2014,133.037457964521
Deposits_to_loans_pct,2015,131.53849572597
Deposits_to_loans_pct,2016,129.222277697208
Deposits_to_loans_pct,2017,120.092243303583
Deposits_to_loans_pct,2018,115.98768246036
Deposits_to_loans_pct,2019,116.897540724493
Deposits_to_loans_pct,2020,122.76419132499
Deposits_to_loans_pct,2021,119.87968746429
Deposits_to_loans_pct,2022,105.107574276995
Deposits_to_loans_pct,2023,106.025448735225
Deposits_to_loans_pct,2024,107.150132536464
