period,"Annual – Bangladesh – Financial, Financial Soundness Indicators, Core Set, Deposit Takers, Capital Adequacy, Non-performing Loans Net of Provisions to Capital, Percent (IMF/FSI/A.BD.FSKNL_PT)"
2011,-15.4438644849764
2012,33.213123013524
2013,8.03846468346771
2014,42.1938826484362
2015,44.8825616511522
2016,44.0765570530997
2017,49.6551408498122
2018,53.3587846430429
2019,44.6221141320411
2020,34.4863376518758
2021,39.4161111621307
2022,38.7644767154676
2023,47.4448207049888
2024,271.974070344677
