,indicator_name,year,value,change_per_year
0,bank_nonperforming_loans_to_total_gross_loans_,2011,1.9042059394074,
1,bank_nonperforming_loans_to_total_gross_loans_,2012,6.72327958982541,253.0752347047995
2,bank_nonperforming_loans_to_total_gross_loans_,2013,4.84439636539416,-27.94593322096308
3,bank_nonperforming_loans_to_total_gross_loans_,2014,9.36516719804562,93.31959013398425
4,bank_nonperforming_loans_to_total_gross_loans_,2015,8.39790781352825,-10.328266052945912
5,bank_nonperforming_loans_to_total_gross_loans_,2016,8.8585217562526,5.484865432582442
6,bank_nonperforming_loans_to_total_gross_loans_,2017,8.89566055291347,0.41924372579043023
7,bank_nonperforming_loans_to_total_gross_loans_,2018,9.88732966644866,11.147785008617529
8,bank_nonperforming_loans_to_total_gross_loans_,2019,8.90213335235847,-9.964230457828481
9,bank_nonperforming_loans_to_total_gross_loans_,2020,7.73754873370445,-13.08208462576539
10,bank_nonperforming_loans_to_total_gross_loans_,2021,7.96907960398037,2.9923025785592916
11,bank_nonperforming_loans_to_total_gross_loans_,2022,8.72436040117116,9.477641518520464
12,bank_nonperforming_loans_to_total_gross_loans_,2023,9.56912775275673,9.682857112048794
13,bank_nonperforming_loans_to_total_gross_loans_,2024,18.9607821141027,98.14535456108177
