,indicator_name,year,value,change_per_year
0,gdp_per_capita_current_us_,2011,837.336944695647,
1,gdp_per_capita_current_us_,2012,859.680536375497,2.6684110645531556
2,gdp_per_capita_current_us_,2013,958.262989798283,11.467335742928398
3,gdp_per_capita_current_us_,2014,1094.46199702838,14.21311358990993
4,gdp_per_capita_current_us_,2015,1224.38647668165,11.871081865430998
5,gdp_per_capita_current_us_,2016,1649.28380858601,34.70287690990534
6,gdp_per_capita_current_us_,2017,1811.08221668646,9.810222307291404
7,gdp_per_capita_current_us_,2018,1965.24372731467,8.512121051592159
8,gdp_per_capita_current_us_,2019,2129.79896954606,8.373274008931197
9,gdp_per_capita_current_us_,2020,2248.85078828233,5.589814834103546
10,gdp_per_capita_current_us_,2021,2482.84917843357,10.405243041045331
11,gdp_per_capita_current_us_,2022,2716.48592780431,9.410025844507452
12,gdp_per_capita_current_us_,2023,2551.01773827307,-6.091258851651227
13,gdp_per_capita_current_us_,2024,2593.41611680774,1.6620181780222287
