altitudes_m,density_kg_m3,viscosity_Pa_s
0.0,1.225,1.81206e-05
200.0,1.20165,1.80556e-05
400.0,1.17864,1.79905e-05
600.0,1.15598,1.79252e-05
800.0,1.13364,1.78598e-05
1000.0,1.11164,1.77943e-05
1200.0,1.08997,1.77286e-05
1400.0,1.06862,1.76628e-05
1600.0,1.04759,1.75968e-05
1800.0,1.02688,1.75307e-05
2000.0,1.00649,1.74645e-05
2200.0,0.986407,1.73981e-05
2400.0,0.966632,1.73316e-05
2600.0,0.947162,1.72649e-05
2800.0,0.927993,1.71981e-05
3000.0,0.909122,1.71311e-05
3200.0,0.890546,1.7064e-05
3400.0,0.872262,1.69967e-05
3600.0,0.854267,1.69293e-05
3800.0,0.836557,1.68617e-05
4000.0,0.819129,1.6794e-05
4200.0,0.801981,1.67261e-05
4400.0,0.785108,1.66581e-05
4600.0,0.768509,1.659e-05
4800.0,0.752179,1.65216e-05
5000.0,0.736116,1.64531e-05
5200.0,0.720317,1.63845e-05
5400.0,0.704778,1.63157e-05
5600.0,0.689497,1.62468e-05
5800.0,0.674471,1.61777e-05
6000.0,0.659697,1.61084e-05
6200.0,0.645172,1.6039e-05
6400.0,0.630892,1.59694e-05
6600.0,0.616856,1.58996e-05
6800.0,0.60306,1.58297e-05
7000.0,0.589501,1.57596e-05
7200.0,0.576177,1.56894e-05
7400.0,0.563084,1.5619e-05
7600.0,0.55022,1.55484e-05
7800.0,0.537582,1.54777e-05
8000.0,0.525168,1.54068e-05
8200.0,0.512973,1.53357e-05
8400.0,0.500997,1.52645e-05
8600.0,0.489236,1.51931e-05
8800.0,0.477687,1.51215e-05
9000.0,0.466348,1.50498e-05
9200.0,0.455216,1.49778e-05
9400.0,0.444289,1.49058e-05
9600.0,0.433563,1.48335e-05
9800.0,0.423036,1.4761e-05
10000.0,0.412707,1.46884e-05
10200.0,0.402571,1.46156e-05
10400.0,0.392627,1.45426e-05
10600.0,0.382871,1.44695e-05
10800.0,0.373303,1.43962e-05
11000.0,0.363918,1.43226e-05
11200.0,0.35262,1.43226e-05
11400.0,0.341673,1.43226e-05
11600.0,0.331065,1.43226e-05
11800.0,0.320787,1.43226e-05
12000.0,0.310828,1.43226e-05
12200.0,0.301178,1.43226e-05
12400.0,0.291828,1.43226e-05
12600.0,0.282768,1.43226e-05
12800.0,0.273989,1.43226e-05
13000.0,0.265483,1.43226e-05
13200.0,0.257241,1.43226e-05
13400.0,0.249255,1.43226e-05
13600.0,0.241517,1.43226e-05
13800.0,0.234019,1.43226e-05
14000.0,0.226753,1.43226e-05
14200.0,0.219714,1.43226e-05
14400.0,0.212893,1.43226e-05
14600.0,0.206283,1.43226e-05
14800.0,0.199879,1.43226e-05
15000.0,0.193674,1.43226e-05
15200.0,0.187661,1.43226e-05
15400.0,0.181835,1.43226e-05
15600.0,0.17619,1.43226e-05
15800.0,0.17072,1.43226e-05
16000.0,0.16542,1.43226e-05
16200.0,0.160284,1.43226e-05
16400.0,0.155308,1.43226e-05
16600.0,0.150487,1.43226e-05
16800.0,0.145815,1.43226e-05
17000.0,0.141288,1.43226e-05
17200.0,0.136901,1.43226e-05
17400.0,0.132651,1.43226e-05
17600.0,0.128533,1.43226e-05
17800.0,0.124543,1.43226e-05
18000.0,0.120676,1.43226e-05
18200.0,0.11693,1.43226e-05
18400.0,0.113299,1.43226e-05
18600.0,0.109782,1.43226e-05
18800.0,0.106374,1.43226e-05
19000.0,0.103071,1.43226e-05
19200.0,0.0998714,1.43226e-05
19400.0,0.0967709,1.43226e-05
19600.0,0.0937666,1.43226e-05
19800.0,0.0908555,1.43226e-05
20000.0,0.0880349,1.43226e-05
20200.0,0.0852243,1.4334e-05
20400.0,0.082506,1.43453e-05
20600.0,0.0798768,1.43566e-05
20800.0,0.0773336,1.43679e-05
21000.0,0.0748737,1.43792e-05
21200.0,0.0724941,1.43905e-05
21400.0,0.0701923,1.44018e-05
21600.0,0.0679655,1.44131e-05
21800.0,0.0658114,1.44244e-05
22000.0,0.0637273,1.44357e-05
22200.0,0.0617111,1.44469e-05
22400.0,0.0597605,1.44582e-05
22600.0,0.0578732,1.44695e-05
22800.0,0.0560471,1.44808e-05
23000.0,0.0542803,1.4492e-05
23200.0,0.0525706,1.45033e-05
23400.0,0.0509164,1.45145e-05
23600.0,0.0493155,1.45258e-05
23800.0,0.0477665,1.4537e-05
24000.0,0.0462674,1.45483e-05
24200.0,0.0448166,1.45595e-05
24400.0,0.0434126,1.45707e-05
24600.0,0.0420538,1.4582e-05
24800.0,0.0407387,1.45932e-05
25000.0,0.0394658,1.46044e-05
25200.0,0.0382338,1.46156e-05
25400.0,0.0370414,1.46268e-05
25600.0,0.0358871,1.4638e-05
