Organism	Feature_A	Feature_B	Mutual_Information
Bos taurus	entropy	hydrophobicity	0.1328
Bos taurus	entropy	freq_A	0.1811
Bos taurus	entropy	freq_C	0.1515
Bos taurus	entropy	freq_D	0.0956
Bos taurus	entropy	freq_E	0.1454
Bos taurus	entropy	freq_F	0.1524
Bos taurus	entropy	freq_G	0.115
Bos taurus	entropy	freq_H	0.1072
Bos taurus	entropy	freq_I	0.1536
Bos taurus	entropy	freq_K	0.1597
Bos taurus	entropy	freq_L	0.1466
Bos taurus	entropy	freq_M	0.0784
Bos taurus	entropy	freq_N	0.1453
Bos taurus	entropy	freq_P	0.1131
Bos taurus	entropy	freq_Q	0.1031
Bos taurus	entropy	freq_R	0.1152
Bos taurus	entropy	freq_S	0.0819
Bos taurus	entropy	freq_T	0.071
Bos taurus	entropy	freq_V	0.1022
Bos taurus	entropy	freq_W	0.1355
Bos taurus	entropy	freq_Y	0.1978
Bos taurus	hydrophobicity	freq_A	0.0569
Bos taurus	hydrophobicity	freq_C	0.0804
Bos taurus	hydrophobicity	freq_D	0.1592
Bos taurus	hydrophobicity	freq_E	0.2872
Bos taurus	hydrophobicity	freq_F	0.1468
Bos taurus	hydrophobicity	freq_G	0.0339
Bos taurus	hydrophobicity	freq_H	0.0534
Bos taurus	hydrophobicity	freq_I	0.1132
Bos taurus	hydrophobicity	freq_K	0.1705
Bos taurus	hydrophobicity	freq_L	0.2006
Bos taurus	hydrophobicity	freq_M	0.0277
Bos taurus	hydrophobicity	freq_N	0.0483
Bos taurus	hydrophobicity	freq_P	0.0614
Bos taurus	hydrophobicity	freq_Q	0.1175
Bos taurus	hydrophobicity	freq_R	0.1061
Bos taurus	hydrophobicity	freq_S	0.0221
Bos taurus	hydrophobicity	freq_T	0.0449
Bos taurus	hydrophobicity	freq_V	0.2165
Bos taurus	hydrophobicity	freq_W	0.0791
Bos taurus	hydrophobicity	freq_Y	0.061
Bos taurus	freq_A	freq_C	0.076
Bos taurus	freq_A	freq_D	0.1589
Bos taurus	freq_A	freq_E	0.1163
Bos taurus	freq_A	freq_F	0.1219
Bos taurus	freq_A	freq_G	0.1443
Bos taurus	freq_A	freq_H	0.1499
Bos taurus	freq_A	freq_I	0.1363
Bos taurus	freq_A	freq_K	0.148
Bos taurus	freq_A	freq_L	0.0752
Bos taurus	freq_A	freq_M	0.1573
Bos taurus	freq_A	freq_N	0.1893
Bos taurus	freq_A	freq_P	0.0871
Bos taurus	freq_A	freq_Q	0.1285
Bos taurus	freq_A	freq_R	0.1128
Bos taurus	freq_A	freq_S	0.0887
Bos taurus	freq_A	freq_T	0.1113
Bos taurus	freq_A	freq_V	0.1034
Bos taurus	freq_A	freq_W	0.1228
Bos taurus	freq_A	freq_Y	0.1551
Bos taurus	freq_C	freq_D	0.1745
Bos taurus	freq_C	freq_E	0.1457
Bos taurus	freq_C	freq_F	0.1978
Bos taurus	freq_C	freq_G	0.0914
Bos taurus	freq_C	freq_H	0.4031
Bos taurus	freq_C	freq_I	0.1599
Bos taurus	freq_C	freq_K	0.1504
Bos taurus	freq_C	freq_L	0.0827
Bos taurus	freq_C	freq_M	0.3599
Bos taurus	freq_C	freq_N	0.2287
Bos taurus	freq_C	freq_P	0.1477
Bos taurus	freq_C	freq_Q	0.1938
Bos taurus	freq_C	freq_R	0.1248
Bos taurus	freq_C	freq_S	0.0876
Bos taurus	freq_C	freq_T	0.1192
Bos taurus	freq_C	freq_V	0.0969
Bos taurus	freq_C	freq_W	0.5943
Bos taurus	freq_C	freq_Y	0.297
Bos taurus	freq_D	freq_E	0.215
Bos taurus	freq_D	freq_F	0.2029
Bos taurus	freq_D	freq_G	0.1098
Bos taurus	freq_D	freq_H	0.2447
Bos taurus	freq_D	freq_I	0.1866
Bos taurus	freq_D	freq_K	0.148
Bos taurus	freq_D	freq_L	0.0949
Bos taurus	freq_D	freq_M	0.2538
Bos taurus	freq_D	freq_N	0.2198
Bos taurus	freq_D	freq_P	0.143
Bos taurus	freq_D	freq_Q	0.2019
Bos taurus	freq_D	freq_R	0.1675
Bos taurus	freq_D	freq_S	0.1344
Bos taurus	freq_D	freq_T	0.1943
Bos taurus	freq_D	freq_V	0.1429
Bos taurus	freq_D	freq_W	0.2312
Bos taurus	freq_D	freq_Y	0.2142
Bos taurus	freq_E	freq_F	0.1694
Bos taurus	freq_E	freq_G	0.1381
Bos taurus	freq_E	freq_H	0.1592
Bos taurus	freq_E	freq_I	0.1113
Bos taurus	freq_E	freq_K	0.2264
Bos taurus	freq_E	freq_L	0.0827
Bos taurus	freq_E	freq_M	0.1821
Bos taurus	freq_E	freq_N	0.1297
Bos taurus	freq_E	freq_P	0.1101
Bos taurus	freq_E	freq_Q	0.1542
Bos taurus	freq_E	freq_R	0.1213
Bos taurus	freq_E	freq_S	0.1016
Bos taurus	freq_E	freq_T	0.1132
Bos taurus	freq_E	freq_V	0.1267
Bos taurus	freq_E	freq_W	0.2173
Bos taurus	freq_E	freq_Y	0.1669
Bos taurus	freq_F	freq_G	0.1198
Bos taurus	freq_F	freq_H	0.2841
Bos taurus	freq_F	freq_I	0.2512
Bos taurus	freq_F	freq_K	0.1193
Bos taurus	freq_F	freq_L	0.0875
Bos taurus	freq_F	freq_M	0.3133
Bos taurus	freq_F	freq_N	0.2425
Bos taurus	freq_F	freq_P	0.2096
Bos taurus	freq_F	freq_Q	0.2334
Bos taurus	freq_F	freq_R	0.153
Bos taurus	freq_F	freq_S	0.1181
Bos taurus	freq_F	freq_T	0.1656
Bos taurus	freq_F	freq_V	0.1453
Bos taurus	freq_F	freq_W	0.353
Bos taurus	freq_F	freq_Y	0.3094
